State,Extractable_Resource_ham,Extraction_ham,Extraction_Percentage,Category,Year
HIMACHAL PRADESH,206.22,,0.0,Safe,2023
JAMMU AND KASHMIR,39327.99,7951.312999999999,34.38047558494599,Safe,2023
JHARKHAND,417.68999999999994,0,0.0,Safe,2023
KARNATAKA,658124.5899999999,31428.737031709996,41.55090907634981,Safe,2023
KERALA,0,,0.0,Safe,2023
LADAKH,0,,0.0,Safe,2023
LAKSHDWEEP,0,,0.0,Safe,2023
MADHYA PRADESH,693591.5299999999,19321.54875,16.676124923267167,Safe,2023
MAHARASHTRA,856809.9846534927,35130.28118912109,49.010046639473984,Safe,2023
MANIPUR,0,,0.0,Safe,2023
MEGHALAYA,-2310.23,,0.0,Safe,2023
MIZORAM,0,,0.0,Safe,2023
NAGALAND,0,,0.0,Safe,2023
ODISHA,372201.9500000001,22191.846371500003,39.219297480843395,Safe,2023
PUDUCHERRY,2056.8300000000004,,0.0,Safe,2023
PUNJAB,1758869.8499999996,117552.18835,157.26873821846456,Over-Exploited,2023
RAJASTHAN,189388.8,20389.473024861,80.44382772370913,Semi-Critical,2023
SIKKIM,0,,0.0,Safe,2023
TAMILNADU,151046.68000000002,0,0.0,Safe,2023
TELANGANA,815648.02,16026.540896445002,36.94720303495618,Safe,2023
TRIPURA,0,,0.0,Safe,2023
UTTAR PRADESH,6637517.02,508340.9151334299,70.45333135733341,Semi-Critical,2023
UTTARAKHAND,196407.26,17690.9317425,53.535521039293556,Safe,2023
WEST BENGAL,575688.9400000001,32779.362426,37.18735329534036,Safe,2023
ARUNACHAL PRADESH,0,,0.0,Safe,2024
ASSAM,0,,0.0,Safe,2024
CHANDIGARH,0,,0.0,Safe,2024
CHHATTISGARH,411044.96,11358.697800000002,43.50216822996685,Safe,2024
DADRA AND NAGAR HAVELI,2038.9,257.85,26.31467948403551,Safe,2024
DAMAN AND DIU,2374.73,0,33.140609669309775,Safe,2024
GUJARAT,2560847.9700000007,92317.7572544281,56.15024932542168,Safe,2024
HARYANA,930112.81,72225.97699999998,136.7511366712603,Over-Exploited,2024
JAMMU AND KASHMIR,38992.799999999996,7951.312999999999,34.676017110851234,Safe,2024
JHARKHAND,417.68999999999994,0,0.0,Safe,2024
LADAKH,0,,0.0,Safe,2024
LAKSHDWEEP,0,,0.0,Safe,2024
MANIPUR,0,,0.0,Safe,2024
MEGHALAYA,0,,0.0,Safe,2024
MIZORAM,0,,0.0,Safe,2024
NAGALAND,0,,0.0,Safe,2024
PUDUCHERRY,2056.8300000000004,,0.0,Safe,2024
PUNJAB,1622902.4399999995,112489.1170205,159.58179285256364,Over-Exploited,2024
RAJASTHAN,62846.24,9352.694944889332,87.02996392465165,Semi-Critical,2024
TAMILNADU,229649.76,0,0.0,Safe,2024
TELANGANA,929033.2900000002,18018.43992432,34.83534158393827,Safe,2024
TRIPURA,0,,0.0,Safe,2024
UTTARAKHAND,195199.77,17787.7526705,53.91629303661577,Safe,2024
ANDAMAN AND NICOBAR ISLANDS,0,0,0.0,Safe,2016
ANDHRA PRADESH,4122339.11,36487.07674999999,2.7611123942687974,Safe,2016
ARUNACHAL PRADESH,0,,0.0,Safe,2016
ASSAM,,,,No Data,2016
BIHAR,,,,No Data,2016
CHANDIGARH,,,,No Data,2016
CHHATTISGARH,,,,No Data,2016
DADRA AND NAGAR HAVELI,,,,No Data,2016
DAMAN AND DIU,1695.4499999999998,291.809105,0.6020879412545342,Safe,2016
DELHI,,,,No Data,2016
GOA,,,,No Data,2016
GUJARAT,0,,0.0,Safe,2016
